127.0.0.1, 2016-03-20 23:40:35, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.898004
127.0.0.1, 2016-03-20 23:40:43, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.160602
127.0.0.1, 2016-03-20 23:40:43, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000473
127.0.0.1, 2016-03-20 23:40:43, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.000469
127.0.0.1, 2016-03-20 23:40:43, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000687
127.0.0.1, 2016-03-20 23:40:43, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.002613
127.0.0.1, 2016-03-20 23:40:43, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.003954
127.0.0.1, 2016-03-20 23:40:43, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000623
127.0.0.1, 2016-03-20 23:40:43, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.004590
127.0.0.1, 2016-03-20 23:40:43, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.000381
127.0.0.1, 2016-03-20 23:40:43, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000534
127.0.0.1, 2016-03-20 23:40:43, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.000608
127.0.0.1, 2016-03-20 23:40:43, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.000547
127.0.0.1, 2016-03-20 23:40:43, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000944
127.0.0.1, 2016-03-20 23:40:43, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.002660
127.0.0.1, 2016-03-20 23:40:43, GET, /admin/static/images/folder_sm.png, HTTP/1.1, 200, 0.002545
127.0.0.1, 2016-03-20 23:40:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000470
127.0.0.1, 2016-03-20 23:41:14, GET, /admin/default/site, HTTP/1.1, 200, 0.044825
127.0.0.1, 2016-03-20 23:41:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000509
127.0.0.1, 2016-03-20 23:41:15, GET, /admin/default/twitter.load, HTTP/1.1, 200, 1.367975
127.0.0.1, 2016-03-20 23:41:20, GET, /welcome/default/index, HTTP/1.1, 200, 0.046256
127.0.0.1, 2016-03-20 23:41:20, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000576
127.0.0.1, 2016-03-20 23:41:20, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001177
127.0.0.1, 2016-03-20 23:41:20, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000453
127.0.0.1, 2016-03-20 23:41:20, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000322
127.0.0.1, 2016-03-20 23:41:20, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000516
127.0.0.1, 2016-03-20 23:41:20, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000513
127.0.0.1, 2016-03-20 23:41:20, GET, /welcome/static/css/superfish.css, HTTP/1.1, 304, 0.001397
127.0.0.1, 2016-03-20 23:41:20, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 304, 0.000550
127.0.0.1, 2016-03-20 23:41:20, GET, /welcome/static/js/superfish.js, HTTP/1.1, 304, 0.000504
127.0.0.1, 2016-03-20 23:41:20, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 304, 0.000607
127.0.0.1, 2016-03-20 23:41:21, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 304, 0.000383
127.0.0.1, 2016-03-20 23:41:21, GET, /welcome/static/images/shadow.png, HTTP/1.1, 304, 0.000432
127.0.0.1, 2016-03-20 23:41:26, GET, /welcome/default/index, HTTP/1.1, 200, 0.028552
127.0.0.1, 2016-03-20 23:41:26, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000795
127.0.0.1, 2016-03-20 23:41:26, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.002502
127.0.0.1, 2016-03-20 23:41:26, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.002316
127.0.0.1, 2016-03-20 23:41:26, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 304, 0.000605
